id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
SVG-100,P1,4,backend,实现基础样式映射 fill stroke opacity radius,在 styles 与 shapes writer 层补齐 fill、stroke、stroke-width、opacity、fill-opacity、stroke-opacity、rx、ry 的解析与写入。,卡片、背景块、按钮、圆角容器样式在基线样本中基本正确；透明度映射稳定；不支持样式会记录到报告。,AUTOSERVER,Review fill、stroke、透明度和圆角映射是否统一；禁止不同 shape 类型各自发散。,回归时要求 15 页全量可输出不支持样式项；修复后不引入更多边框或线条错色。,已完成,已完成,已完成,已提交,,src/svg2pptx/parser/styles.py:375;src/svg2pptx/pptx_writer/shapes.py:94;src/svg2pptx/pptx_writer/shapes.py:208;scripts/diag_svg2pptx.py:97;tests/test_converter.py:261;tests/test_diagnostics.py:77,parallel_lane:styles;week:4;picked_reason:紧接 SVG-090 继续补齐 styles 主线，先收口基础样式映射可以降低后续 gradient/filter/path 偏差;done_at:2026-03-24;evidence:pytest parser+converter+diagnostics 59 passed;pytest geometry 32 passed;diag baseline_5 5/5;diag full_15 15/15;unsupported_report baseline_5=9 full_15=15
SVG-110,P1,4,backend,实现 gradient 与 defs/url 引用映射,支持 linearGradient、radialGradient 和常见 url 引用链，减少渐变背景和按钮渐变丢失。,13 页含 gradient 页面中的主要渐变元素大部分可见；defs 引用解析稳定；无法完全映射时有明确降级说明。,AUTOSERVER,Review stop、offset、方向与透明 stop 的映射规则；禁止静默退成纯色。,回归时要求输出 gradient 支持统计；样式修复不得破坏基础 fill/stroke。,已完成,已完成,已完成,已提交,,src/svg2pptx/parser/styles.py:79;src/svg2pptx/parser/styles.py:256;src/svg2pptx/pptx_writer/shapes.py:270;src/svg2pptx/config.py:53;scripts/diag_svg2pptx.py:129;tests/test_parser.py:108;tests/test_converter.py:288;tests/test_diagnostics.py:110,parallel_lane:styles;week:4;picked_reason:紧接 SVG-100 继续完成 styles 并行道，当前 fixtures 主要是 linear gradient，可以以最小实现直接提升 13 页样式可见度;done_at:2026-03-24;evidence:pytest parser+converter+diagnostics 61 passed;pytest geometry 32 passed;diag baseline_5_gradients 5/5 linear_applied=8 unresolved_pattern=2;diag full_15_gradients 15/15 linear_applied=21 unresolved_pattern=2
SVG-120,P1,5,backend,建立 filter 支持矩阵与受控降级策略,把当前样本中的 feDropShadow、feGaussianBlur、feOffset、feMerge、feComponentTransfer、feComposite 拆成支持级别矩阵。,12 页含 filter 页面都能输出支持级别和降级说明；不再存在完全忽略滤镜却无记录的情况。,AUTOSERVER,Review 必须区分等价支持、近似支持、受控降级和不支持；禁止在逻辑里吞异常。,回归时要求报告中清晰列出每页 filter 结果；策略版本可追溯。,已完成,已完成,已完成,已提交,,scripts/diag_svg_feature_scan.py:18;scripts/diag_svg_feature_scan.py:47;scripts/diag_svg_feature_scan.py:108;scripts/diag_svg2pptx.py:79;tests/test_diagnostics.py:53;tests/test_diagnostics.py:146,parallel_lane:filters;week:5;picked_reason:样本中 filter 已集中出现，且当前 writer 还未实现 filter，先建立可追溯的支持矩阵和降级报告能直接解掉静默丢失风险;done_at:2026-03-24;evidence:pytest diagnostics 5 passed;diag baseline_5_filters 5/5 filter_pages=4 approximate=4;diag full_15_filters 15/15 filter_pages=12 approximate=12 controlled_degradation=2;strategy_version=2026-03-24.filter-matrix-v1
SVG-130,P1,5,backend,实现阴影类与常见模糊滤镜的视觉等价,优先实现 drop shadow 和常见 blur 的视觉等价表达，尽量利用 PPT 能表达的阴影能力。,典型阴影页的视觉层次明显优于当前版本；主要阴影类滤镜可映射；模糊类无法等价时按规则降级并记录。,AUTOSERVER,Review 阴影参数、偏移、透明度和颜色映射；禁止一刀切固定阴影。,回归时至少抽 3 页滤镜页面做人工对比；15 页全量不得因滤镜支持导致崩溃。,已完成,已完成,已完成,已提交,,src/svg2pptx/parser/styles.py:104;src/svg2pptx/parser/styles.py:314;src/svg2pptx/parser/styles.py:906;src/svg2pptx/parser/svg_parser.py:228;src/svg2pptx/pptx_writer/groups.py:46;src/svg2pptx/pptx_writer/shapes.py:228;src/svg2pptx/pptx_writer/shapes.py:393;src/svg2pptx/pptx_writer/shapes.py:409;tests/test_parser.py:131;tests/test_converter.py:316,parallel_lane:filters;week:5;picked_reason:样本 filter 链路集中为 feDropShadow、blur+offset+merge 和 blur+composite，可以用 PPT outer shadow/glow 做最小视觉等价;done_at:2026-03-24;validation_limited:当前环境无 PowerPoint GUI，无法完成 review_regression_requirements 要求的 3 页人工视觉对比;manual_test:1) 用 PowerPoint 打开 artifacts\regression_runs\2026-03-24_03-56-36_full_15_shadowfx_v2\pptx\slide_003.pptx slide_009.pptx slide_012.pptx 2) 对照 tests\fixtures\oceanppt\full_15 对应 SVG 检查 card shadow / glow 层次 3) 确认文本未被过度加 shadow;evidence:pytest parser+converter+diagnostics 66 passed;pytest geometry 32 passed;diag baseline_5_shadowfx_v2 5/5;diag full_15_shadowfx_v2 15/15;xml sample slide_003 outer=4 slide_009 outer=2 glow=2 slide_012 outer=3;risk:medium group-level filter 在 flatten 模式下仍是主 shape/group 近似，最终视觉依赖 PowerPoint 渲染
SVG-140,P1,6,backend,修复 group 保序与 z-order 保持,改造 group writer 与中间表示，保持父子组结构和同级元素的层级顺序。,卡片内部图形和文字层级基本正确；grouped 模式可编辑性明显提升；遮挡顺序不再大面积反转。,AUTOSERVER,Review group 边界、排序稳定性和空组处理；禁止通过页面特判重排。,回归时要求 grouped 与 flattened 两条链路都能对比；15 页不得新增更多层级错乱。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:352;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:362,parallel_lane:geometry;week:6
SVG-150,P1,6,backend,提升 path 与 freeform 曲线几何精度,优化 path 解析、曲线近似和 freeform 写入，减少装饰线和路径图形失真。,10 页含曲线样本中的装饰线和路径图形失真明显下降；曲线点数与性能在可控范围。,AUTOSERVER,Review Q/T 等曲线近似策略、点数上限和性能影响；禁止为个别样本硬编码。,回归时输出 shape 点数与耗时；修复后不得导致文件体积异常膨胀。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:354;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:363,parallel_lane:geometry;week:6
SVG-160,P1,6,backend,建立 shape 数量膨胀保护与溢出告警,为 path/freeform 和 group 写入增加 shape 数量、点数和布局溢出保护，防止可编辑但不可用。,导出过程可统计 shape 数和点数；异常膨胀会触发告警或降级；不再出现整页导出后 shape 数量失控。,AUTOSERVER,Review 保护阈值是否基于真实样本数据；禁止静默截断 shape。,回归时要求告警能落到结构化报告；保护逻辑不应误伤正常页面。,已完成,已完成,已完成,已提交,,src/svg2pptx/config.py:47;src/svg2pptx/config.py:120;src/svg2pptx/pptx_writer/freeform.py:79;src/svg2pptx/pptx_writer/groups.py:60;src/svg2pptx/pptx_writer/text.py:17;scripts/diag_svg2pptx.py:165;tests/test_converter.py:364;tests/test_diagnostics.py:173,parallel_lane:geometry;week:6;picked_reason:基于现有 regression pipeline 补入 render stats 和 structured warning 最容易形成硬证据，且能直接支撑 path/freeform 后续优化;done_at:2026-03-24;evidence:pytest converter+diagnostics+geometry 62 passed;diag baseline_5_renderguard_v2 5/5 max=57/57/25 warnings=0;diag full_15_renderguard_v2 15/15 max=57/61/41 warnings=0;thresholds:defaults=250/600/250 from full_15_peak=57/61/41
SVG-170,P1,7,both,建立 15 页全量回归流水线,把 15 页导出、统计、评分模板和结果落盘收成标准回归流水线，形成每周基准。,任意提交都可对 15 页样本跑全量回归；报告包含问题分级、关键指标和产物路径。,AUTOE2E,Review 回归入口、输出结构和问题分级是否稳定；禁止只保留终端日志。,回归时要求不同版本报告可对比；修复效果应在报告中可见。,已完成,已完成,已完成,已提交,,scripts/diag_svg2pptx.py:75;scripts/diag_svg2pptx.py:219;scripts/diag_svg2pptx.py:284;scripts/diag_svg2pptx.py:375;tests/test_diagnostics.py:82;tests/test_diagnostics.py:207,parallel_lane:tooling;week:7;picked_reason:现有 runner 已能稳定跑 full_15，只差把问题分级、关键指标和对比入口固化下来，就能直接支撑 Week 7 Go/No-Go 与后续文档交接;done_at:2026-03-24;evidence:pytest converter+diagnostics 31 passed;cli full_15_week7_pipeline_v2 15/15 comparison=false;cli full_15_week7_pipeline_v2 --compare-last 15/15 comparison=true;problem_counts=high0 medium0 low14 clean1
SVG-180,P1,7,backend,完成性能分析与热点治理,统计 15 页导出的耗时、shape 数、曲线点数和产物体积，优化明显热点。,15 页导出时间在团队可接受阈值内；shape 数和产物体积无异常膨胀；性能优化不显著破坏视觉保真。,AUTOSERVER,Review 热点分析、优化收益和视觉副作用；禁止为了快而粗暴删视觉特征。,回归时要求性能报告和视觉评分同时评审；优化后复跑 15 页全量。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:387;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:400,parallel_lane:performance;week:7
SVG-190,P0,7,both,完成 Week 7 Go No-Go 评审,基于 15 页全量回归结果和人工评分做一次正式 Go/No-Go 评审，决定是否进入 OceanPPT 接入阶段。,存在 Week 7 评审记录；明确文本、滤镜、整体稳定性是否达标；如不达标，明确砍 scope 或延长工期。,AUTOE2E,Review 必须基于量化报告和人工评分，不允许只凭印象拍板。,回归时检查评审结论是否真实反映在 Week 8-12 范围里；若延长工期必须同步补 roadmap。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-8-week-roadmap.md:463;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:323,gate:go-no-go;week:7
SVG-200,P1,8,both,整理 fork README 支持矩阵与回归文档,把 fork 的使用方法、支持特性、已知限制和回归方法写成可交接文档。,README、feature support matrix 和回归说明齐全；团队成员可按文档独立跑样本回归。,AUTOE2E,Review 文档中的命令、路径和产物目录必须能真实运行；已知限制要与回归结果一致。,回归时要求新同事能独立复跑至少一次；文档不得滞后于实现状态。,已完成,已完成,已完成,已提交,,README.md:1;docs/regression/feature_support_matrix.md:1;docs/regression/full_15_workflow.md:1;scripts/diag_svg2pptx.py:577,parallel_lane:tooling;week:8;picked_reason:SVG-170 已经把 full_15 回归入口和报告合同固定下来，当前最省上下文的下一步就是把 README、支持矩阵和复跑说明补成可交接文档;done_at:2026-03-24;evidence:README/docs 已切到 repo-local 命令和已知限制口径;verified:conda run -n svg2pptx python -m pytest tests\\test_converter.py tests\\test_diagnostics.py -q => 31 passed;conda run -n svg2pptx python scripts\\diag_svg2pptx.py --sample-set full_15_week7_pipeline_v2 --output-root artifacts\\regression_runs --compare-last => comparison_available true
SVG-210,P1,8,backend,补 fork 包装层 CLI 与 Python API,为 fork 补齐稳定 CLI 和 Python API，统一输入输出契约，为 OceanPPT 接入做准备。,存在稳定 CLI 和 Python API；输入支持 SVG 页面目录与导出配置；输出支持 PPTX 路径和结构化报告。,AUTOSERVER,Review API 与 CLI 的参数命名、输出字段和错误码是否统一；禁止 CLI 和 API 各走一套合同。,回归时要求 CLI 与 API 针对同一输入输出一致；错误场景要有结构化结果。,已完成,已完成,已完成,已提交,,src/svg2pptx/__init__.py:83;src/svg2pptx/cli.py:11;src/svg2pptx/cli.py:87;tests/test_cli.py:13;tests/test_cli.py:60;tests/test_cli.py:87;README.md:61,parallel_lane:integration;week:8;picked_reason:现有仓库已经有基础 CLI 和 svg_to_pptx API，只差把目录输入和结构化结果统一成一份合同，就能为后续 adapter 接线提前清路;done_at:2026-03-24;evidence:pytest cli+converter 28 passed;api baseline_5 success 5/5;cli baseline_5 --report-json --json success 5/5;structured error path covered in tests
SVG-220,P0,9,backend,在 OceanPPT 侧建立导出后端抽象,在 OceanPPT 里补统一导出后端抽象，支持 pptxgenjs、SVGEdit 和 svg2pptx_fork 三条路线。,存在统一导出后端接口；切换后端不会破坏现有 pptxgenjs 和 SVGEdit；后端可识别当前后端类型。,AUTOSERVER,Review 导出抽象是否能承载输入、输出、诊断报告和失败码；禁止为新后端写旁路逻辑。,回归时要求三条路线都能通过同一抽象被调用；已有路线行为不得回归。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:125;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:151,parallel_lane:integration;week:9
SVG-230,P0,9,backend,实现 svg2pptx_fork Adapter 与结构化 JSON 报告接线,为 OceanPPT 实现 svg2pptx_fork adapter，把 fork CLI/API 输出接到 OceanPPT 可消费的结构化结果。,OceanPPT 能调用 svg2pptx_fork adapter 得到 PPTX 路径、页面级状态和诊断报告；错误结果可被主系统识别。,AUTOSERVER,Review adapter 的输入输出与 fork CLI/API 契约是否一致；禁止适配层吞掉原始失败上下文。,回归时要求对成功、警告和失败三类输出都做联调；diagnostics 字段在 API 层可见。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:130;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:145,parallel_lane:integration;week:9
SVG-240,P1,9,frontend,补实验导出后端开关与状态露出,在 OceanPPT 配置、API 或 UI 层补实验导出后端切换能力，并能感知当前后端类型。,可通过配置或管理入口切换 svg2pptx_fork 后端；前端或日志可看到当前后端；切换后错误和状态仍可观察。,AUTOFRONTEND,Review 开关是否足够显式且不会误伤默认路径；禁止默认静默切到实验后端。,回归时要求切换不同后端后 UI/日志都能反映；默认行为仍安全。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:134;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:151,parallel_lane:integration;week:9
SVG-250,P0,10,both,选取 3 到 5 个真实 OceanPPT 项目试用导出,在真实 OceanPPT 项目上试用 svg2pptx_fork，覆盖不同页面数、视觉密度和文本复杂度。,至少 3 个真实项目完成试用导出；每个项目都有成功率、问题分类和性能记录；不再只依赖 15 页样本。,AUTOE2E,Review 项目选择是否覆盖足够差异；确认试用结果可追溯到项目 ID、版本和导出后端。,回归时要求试用项目结果能反哺固定样本与 backlog；试用过程不得影响默认生产路线。,未开始,未开始,未开始,未提交,,plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:165;plan/svg2pptx-fork-roadmap/2026-03-24_svg2pptx-fork-12-week-oceanppt-usable-roadmap.md:193,parallel_lane:trial;week:10
